what,kind,bundleId,bundleVersion,description,time
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1560944792358
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1560944792358
java.specification.name,sysinfo,,,"Java Platform API Specification",1560944792358
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560944792358
java.specification.version,sysinfo,,,"1.6",1560944792358
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1560944792358
java.version,sysinfo,,,"1.6.0_23",1560944792358
java.vm.info,sysinfo,,,"mixed mode",1560944792358
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1560944792358
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1560944792358
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1560944792358
java.vm.specification.version,sysinfo,,,"1.0",1560944792358
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1560944792358
java.vm.version,sysinfo,,,"19.0-b09",1560944792358
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1560944793412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560944793691
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560944796153
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560944797091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560944825196
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945054667
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945055314
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945057154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945058522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945173106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945173921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945230274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945230849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945231879
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1560945231882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945233385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945257123
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560945263495
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560945281903
started,bundle,com.altera.sbtgui.core,13.0.0.156,"com.altera.sbtgui.core",1560945282122
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1560945282190
started,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1560945307011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945315596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945320814
executed,command,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui.targetBuildLastCommand",1560945320824
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945334779
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945445353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945449279
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945897501
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560945901711
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560946245187
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560946247146
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560946277154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560946277681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1560946404353
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560946405225
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560946407597
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560946409744
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560946409791
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560946409797
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1560946409945
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560946412668
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1560946412710
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1560946414365
